text,label
"Government announces phased tax relief for small businesses starting Q2 2026.",1
"NASA releases high-res images from Europa flyby showing potential salt deposits.",1
"WHO updates influenza guidelines after mild northern hemisphere season.",1
"Major chip manufacturer unveils 2nm prototype promising 30% lower power consumption.",1
"University launches interdisciplinary AI ethics program combining law and philosophy.",1
"Scientists confirm Atlantis found intact beneath Arctic ice shelf.",0
"New pill claims to permanently boost human IQ by 80 points in a week.",0
"Actor says secret pyramid energy reversed aging overnight.",0
"Astronomers detect alien transmission demanding Earth’s gold reserves.",0
"Hidden quantum app guarantees doubling your bank balance daily without risk.",0
"Backyard herb mixture dissolves all tumors in 48 hours according to anonymous posts.",0
"Garage inventor builds perpetual motion generator powering an entire town.",0
