text,label
Backyard herb mixture dissolves all tumors in 48 hours according to anonymous posts.,0
Scientists confirm that the moon is made of cheese.,0
Celebrity claims to have traveled time using a secret machine.,0
Scientists confirm Atlantis found intact beneath Arctic ice shelf.,0
New pill claims to permanently boost human IQ by 80 points in a week.,0
Garage inventor builds perpetual motion generator powering an entire town.,0
Hidden quantum app guarantees doubling your bank balance daily without risk.,0
Government announces phased tax relief for small businesses starting Q2 2026.,1
NASA releases high-res images from Europa flyby showing potential salt deposits.,1
Breaking: Government announces new policy to reduce taxes.,1
Local team wins the championship in a thrilling final.,1
University launches interdisciplinary AI ethics program combining law and philosophy.,1
WHO updates influenza guidelines after mild northern hemisphere season.,1
Major chip manufacturer unveils 2nm prototype promising 30% lower power consumption.,1
